,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
7010,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,345,1, ,K1,148-150 ATTORNEY STREET, ,10002,0,1,1,1765,1750,1965,4,K1,3800000,2017-01-19 00:00:00
7011,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,408,24, ,K2,330 GRAND STREET, ,10002,0,10,10,2975,5338,1900,4,K2,6000000,2017-07-13 00:00:00
7012,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,409,41, ,K1,92 LUDLOW STREET, ,10002,0,1,1,3372,5930,1920,4,K1,9000000,2016-11-30 00:00:00
7013,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,410,67, ,K4,108 DELANCEY STREET, ,10002,0,1,1,2220,7520,1900,4,K4,8000000,2017-02-02 00:00:00
7014,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,410,67, ,K4,108 DELANCEY STREET, ,10002,0,1,1,2220,7520,1900,4,K4, -  ,2017-02-02 00:00:00
7015,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,413,25, ,K4,298-300 GRAND STREET, ,10002,0,3,3,2288,3826,1900,4,K4, -  ,2016-11-30 00:00:00
7016,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,424,11, ,K4,171 BOWERY, ,10002,3,1,4,2565,5696,1910,4,K4,8700000,2017-06-14 00:00:00
7017,1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,4,426,27, ,K2,201 CHRYSTIE STREET, ,10002,0,1,1,2500,5000,1900,4,K2,8000000,2017-03-24 00:00:00
7018,1,LOWER EAST SIDE,23 LOFT BUILDINGS                          ,4,274,1, ,L8,47 MONROE STREET, ,10002,0,7,7,2500,12166,1900,4,L8,9575000,2017-03-30 00:00:00
7019,1,LOWER EAST SIDE,23 LOFT BUILDINGS                          ,4,310,17, ,L8,349 GRAND STREET, ,10002,0,1,1,1050,3823,1910,4,L8,3600000,2016-10-14 00:00:00
7020,1,LOWER EAST SIDE,26 OTHER HOTELS                            ,4,411,41, ,H3,136 LUDLOW STREET, ,10002,0,1,1,2003,13000,2007,4,H3,15500000,2016-10-06 00:00:00
7021,1,LOWER EAST SIDE,26 OTHER HOTELS                            ,4,415,66, ,H9,141 ORCHARD STREET, ,10002,0,1,1,2214,39064,2009,4,H9,30750000,2016-09-15 00:00:00
7022,1,LOWER EAST SIDE,26 OTHER HOTELS                            ,4,415,67, ,H9,139 ORCHARD STREET, ,10002,0,1,1,2192,39064,2009,4,H9, -  ,2016-09-15 00:00:00
7023,1,LOWER EAST SIDE,26 OTHER HOTELS                            ,4,417,11, ,H3,151 EAST HOUSTON STREET, ,10002,0,1,1,2182,14554,1900,4,H3,16750000,2017-07-13 00:00:00
7024,1,LOWER EAST SIDE,31 COMMERCIAL VACANT LAND                  ,4,415,61, ,V1,77 RIVINGTON STREET, ,10002,0,0,0,963, -  ,0,4,V1, -  ,2017-01-20 00:00:00
7025,1,LOWER EAST SIDE,31 COMMERCIAL VACANT LAND                  ,4,415,61, ,V1,77 RIVINGTON STREET, ,10002,0,0,0,963, -  ,0,4,V1,10600000,2016-09-15 00:00:00
7026,1,LOWER EAST SIDE,32 HOSPITAL AND HEALTH FACILITIES          ,4,315,47, ,I5,232 EAST BROADWAY, ,10002,0,3,3,5200,16128,1962,4,I5, -  ,2016-10-27 00:00:00
7027,1,LOWER EAST SIDE,34 THEATRES                                ,4,422,49, ,J8,139 EAST HOUSTON STREET, ,10002,0,1,1,7384,24800,2000,4,J8,31500000,2017-05-17 00:00:00
7028,1,LOWER EAST SIDE,36 OUTDOOR RECREATIONAL FACILITIES         ,4,315,40, ,Q1,226 EAST BROADWAY, ,10002,0,0,0,6675, -  ,0,4,Q1,47500000,2016-10-27 00:00:00
7029,1,LOWER EAST SIDE,37 RELIGIOUS FACILITIES                    ,4,308,23, ,M9,49 ORCHARD STREET, ,10002,0,2,2,2222,12438,1900,4,M9,11350000,2016-12-08 00:00:00
7030,1,LOWER EAST SIDE,38 ASYLUMS AND HOMES                       ,4,315,45, ,N2,228 EAST BROADWAY, ,10002,0,4,4,5225,44122,1932,4,N2, -  ,2016-10-27 00:00:00
7031,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1118, ,RB,2 ALLEN STREET,2A,10002,0,0,1, -  , -  ,2011,4,RB,4121000,2017-02-02 00:00:00
7032,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1119, ,RB,2 ALLEN STREET,2B,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7033,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1120, ,RB,2 ALLEN STREET,2C,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7034,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1121, ,RB,2 ALLEN STREET,2D,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7035,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1122, ,RB,2 ALLEN STREET,2E,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7036,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1123, ,RB,2 ALLEN STREET,2F,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7037,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1124, ,RB,2 ALLEN STREET,2G,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7038,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1125, ,RB,2 ALLEN STREET,2H,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7039,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1126, ,RB,2 ALLEN STREET,2J,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7040,1,LOWER EAST SIDE,43 CONDO OFFICE BUILDINGS                  ,4,294,1127, ,RB,2 ALLEN STREET,2K,10002,0,0,1, -  , -  ,2011,4,RB, -  ,2017-02-02 00:00:00
7041,1,LOWER EAST SIDE,46 CONDO STORE BUILDINGS                   ,4,273,1001, ,RK,142 HENRY STREET,CU,10002,0,0,1, -  , -  ,0,4,RK,300000,2017-06-14 00:00:00
7042,1,LOWER EAST SIDE,46 CONDO STORE BUILDINGS                   ,4,294,1109, ,RK,2 ALLEN STREET,1A,10002,0,0,1, -  , -  ,2011,4,RK,1102367,2017-07-06 00:00:00
7043,1,LOWER EAST SIDE,46 CONDO STORE BUILDINGS                   ,4,309,1001, ,RK,50 ORCHARD STREET,COM-A,10002,0,0,1, -  , -  ,2004,4,RK,2100000,2016-12-08 00:00:00
7044,1,MANHATTAN VALLEY,03 THREE FAMILY DWELLINGS                  ,1,1847,11, ,C0,317 WEST 112 STREET, ,10026,3,0,3,1682,3333,1900,1,C0,3075000,2017-03-20 00:00:00
7045,1,MANHATTAN VALLEY,04 TAX CLASS 1 CONDOS                      ,1C,1847,1302, ,R6,320 WEST 113 STREET,2,10026,1,0,1, -  , -  ,1905,1,R6,4454843,2016-11-14 00:00:00
7046,1,MANHATTAN VALLEY,04 TAX CLASS 1 CONDOS                      ,1C,1847,1401, ,R6,315 WEST 112 STREET,A,10026,1,0,1, -  , -  ,1900,1,R6,3053731,2016-11-23 00:00:00
7047,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1836,20, ,C4,4 MANHATTAN AVENUE, ,10025,36,0,36,3550,14268,1900,2,C4,2350000,2017-03-23 00:00:00
7048,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1837,26, ,C4,5 WEST 101 STREET, ,10025,20,0,20,3835,12805,1930,2,C4,10350000,2017-01-17 00:00:00
7049,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1842,21, ,C4,21 WEST 106 STREET, ,10025,20,0,20,3028,11390,1920,2,C4,9400000,2017-01-31 00:00:00
7050,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1842,62, ,C7,953 COLUMBUS AVENUE, ,10025,10,2,12,1875,7540,1900,2,C7,4554000,2017-08-17 00:00:00
7051,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1843,1, ,C7,961 COLUMBUS AVENUE, ,10025,14,1,15,2517,12215,1917,2,C7,7595000,2017-05-16 00:00:00
7052,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1843,29, ,C5,471 CENTRAL PARK WEST, ,10025,37,0,37,4092,17625,1941,2,C5, -  ,2017-08-10 00:00:00
7053,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1843,31, ,C4,472 CENTRAL PARK WEST, ,10025,15,0,15,2400,8920,1941,2,C4, -  ,2017-08-10 00:00:00
7054,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1843,32, ,C5,473 CENTRAL PARK WEST, ,10025,19,0,19,2400,8685,1941,2,C5, -  ,2017-08-10 00:00:00
7055,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1843,34, ,C5,475 CENTRAL PARK WEST, ,10025,56,0,56,7200,26645,1913,2,C5, -  ,2017-08-10 00:00:00
7056,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1844,20, ,C1,12-22 WEST 109TH STREET, ,10025,181,0,181,23251,112493,1890,2,C1,10,2017-01-23 00:00:00
7057,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1844,20, ,C1,12-22 WEST 109TH STREET, ,10025,181,0,181,23251,112493,1890,2,C1,10,2017-01-23 00:00:00
7058,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1845,58, ,C1,354 CATHEDRAL PARKWAY, ,10025,30,0,30,5229,20412,1925,2,C1,17000000,2016-10-07 00:00:00
7059,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1846,37, ,C4,309 WEST 111TH STREET, ,10026,15,0,15,3364,12310,1910,2,C4, -  ,2017-02-24 00:00:00
7060,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1846,37, ,C4,309 WEST 111 STREET, ,10026,15,0,15,3364,12310,1910,2,C4,8600000,2017-01-03 00:00:00
7061,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1846,42, ,C7,2049 FREDRICK DOUGLASS BL, ,10026,13,1,14,2550,11708,1900,2,C7, -  ,2017-03-15 00:00:00
7062,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1846,43, ,C7,2051 FREDRICK DOUGLASS BL, ,10026,13,1,14,2517,9396,1900,2,C7, -  ,2017-03-15 00:00:00
7063,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1847,7, ,C5,325 W 112TH STREET, ,10026,12,0,12,1682,3332,1900,2,C5,2200000,2017-08-21 00:00:00
7064,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1847,61, ,C4,302 WEST 114 STREET, ,10026,20,0,20,2624,8915,1900,2,C4,7150000,2017-08-25 00:00:00
7065,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2B,1848,5, ,C4,315 WEST 114 STREET, ,10026,10,0,10,2018,8125,1900,2,C4,349622,2017-05-25 00:00:00
7066,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2B,1848,11, ,C4,303 WEST 114 STREET, ,10026,10,0,10,2018,8125,1900,2,C4, -  ,2016-11-22 00:00:00
7067,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1848,12, ,C7,2111 FREDRICK DOUGLASS BL, ,10026,13,1,14,2542,11795,1900,2,C7,622843,2017-05-25 00:00:00
7068,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1842,53, ,D1,60 WEST 107 STREET, ,10025,25,0,25,4920,25144,1940,2,D1,38250000,2017-05-10 00:00:00
7069,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1842,55, ,D1,64 WEST 107 STREET, ,10025,25,0,25,4920,25144,1940,2,D1, -  ,2017-05-10 00:00:00
7070,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1842,57, ,D1,66 WEST 107 STREET, ,10025,25,0,25,4920,25144,1940,2,D1, -  ,2017-05-10 00:00:00
7071,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1842,59, ,D1,68 WEST 107 STREET, ,10025,25,0,25,4920,25144,1940,2,D1,12750000,2017-05-10 00:00:00
7072,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1843,22, ,D1,15 WEST 107 STREET, ,10025,30,0,30,7569,31818,1905,2,D1,17052000,2017-05-11 00:00:00
"7073,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1840,57, ,C6,""58 WEST 105 STREET, 4B"", ,10025,0,0,0, -  , -  ,1900,2,C6,357000,2016-10-26 00:00:00"
"7074,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1844,24, ,C6,""11-15 WEST 108TH STREET, 6"", ,10025,0,0,0, -  , -  ,1900,2,C6,225000,2016-10-26 00:00:00"
"7075,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1844,24, ,C6,""11 WEST 108TH, 33"", ,10025,0,0,0, -  , -  ,1900,2,C6, -  ,2017-03-01 00:00:00"
"7076,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1844,24, ,C6,""11 WEST 108 STREET, 33"", ,10025,0,0,0, -  , -  ,1900,2,C6,225000,2017-08-07 00:00:00"
"7077,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1844,24, ,C6,""11 WEST 108TH STREET, 34"", ,10025,0,0,0, -  , -  ,1900,2,C6,213200,2017-08-23 00:00:00"
"7078,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2C,1849,18, ,C6,""8 MORNINGSIDE AVENUE, 1S"", ,10026,0,0,0, -  , -  ,1910,2,C6,526000,2016-11-01 00:00:00"
"7079,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2C,1849,18, ,C6,""8 MORNINGSIDE AVENUE, 5S"", ,10026,0,0,0, -  , -  ,1910,2,C6,435000,2016-11-29 00:00:00"
"7080,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,6, ,D4,""49 WEST 96TH STREET, 1F"", ,10025,0,0,0, -  , -  ,1941,2,D4,520000,2017-01-25 00:00:00"
"7081,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,6, ,D4,""49 WEST 96TH STREET, 4B"", ,10025,0,0,0, -  , -  ,1941,2,D4,685000,2017-03-06 00:00:00"
"7082,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,10, ,D4,""41 WEST 96TH STREET, 12 B"", ,10025,0,0,0, -  , -  ,1926,2,D4,1915000,2017-03-21 00:00:00"
"7083,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,10, ,D4,""41 WEST 96TH STREET, 15AB"", ,10025,0,0,0, -  , -  ,1926,2,D4,5415000,2017-06-29 00:00:00"
"7084,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,25, ,D4,""7 WEST 96TH STREET, 1E"", ,10025,0,0,0, -  , -  ,1931,2,D4,260000,2017-01-21 00:00:00"
"7085,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,25, ,D4,""7 WEST 96TH STREET, 15C"", ,10025,0,0,0, -  , -  ,1931,2,D4,2050000,2017-07-20 00:00:00"
"7086,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,36, ,D4,""370 CENTRAL PARK WEST, 602"", ,10025,0,0,0, -  , -  ,1918,2,D4,1500000,2017-01-04 00:00:00"
"7087,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,36, ,D4,""370 CENTRAL PARK WEST, 113"", ,10025,0,0,0, -  , -  ,1918,2,D4,950000,2017-06-27 00:00:00"
"7088,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1836,31, ,D4,""407 CENTRAL PARK WEST, 4A"", ,10025,0,0,0, -  , -  ,1900,2,D4,645000,2016-12-01 00:00:00"
"7089,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1836,31, ,D4,""407 CENTRAL PARK WEST, 4C"", ,10025,0,0,0, -  , -  ,1900,2,D4,925000,2016-12-13 00:00:00"
"7090,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1836,36, ,D4,""410 CENTRAL PARK WEST, 6B"", ,10025,0,0,0, -  , -  ,1929,2,D4,1550000,2017-01-05 00:00:00"
"7091,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,""415 CENTRAL PARK WEST, 2D"", ,10025,0,0,0, -  , -  ,1926,2,D4,1400000,2016-11-23 00:00:00"
"7092,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,""415 CENTRAL PARK WEST, 9C"", ,10025,0,0,0, -  , -  ,1926,2,D4,1200000,2016-12-20 00:00:00"
"7093,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,""415 CENTRAL PARK WEST, 10D"", ,10025,0,0,0, -  , -  ,1926,2,D4,1773000,2017-04-20 00:00:00"
"7094,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,""415 CENTRAL PARK WEST, 17E"", ,10025,0,0,0, -  , -  ,1926,2,D4,2340000,2017-06-08 00:00:00"
"7095,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,""415 CENTRAL PARK WEST, 8A"", ,10025,0,0,0, -  , -  ,1926,2,D4, -  ,2017-06-07 00:00:00"
"7096,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 16D"", ,10025,0,0,0, -  , -  ,1930,2,D4,1582039,2016-12-02 00:00:00"
"7097,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 1A"", ,10025,0,0,0, -  , -  ,1930,2,D4,2081799,2016-12-02 00:00:00"
"7098,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 17F"", ,10025,0,0,0, -  , -  ,1930,2,D4,2990163,2016-12-27 00:00:00"
"7099,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 17B"", ,10025,0,0,0, -  , -  ,1930,2,D4,1935000,2017-03-20 00:00:00"
"7100,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 18/19"", ,10025,0,0,0, -  , -  ,1930,2,D4,2100000,2017-04-28 00:00:00"
"7101,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 4B"", ,10025,0,0,0, -  , -  ,1930,2,D4,2624453,2017-06-23 00:00:00"
"7102,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 6D"", ,10025,0,0,0, -  , -  ,1930,2,D4,1480447,2017-08-01 00:00:00"
"7103,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,""444 CENTRAL PARK WEST, 4G"", ,10025,0,0,0, -  , -  ,1930,2,D4,800000,2017-08-24 00:00:00"
"7104,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,33, ,D4,""446 CENTRAL PARK WEST, 5C"", ,10025,0,0,0, -  , -  ,1920,2,D4,715000,2017-05-04 00:00:00"
"7105,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,33, ,D4,""446 CENTRAL PARK WEST, 1C"", ,10025,0,0,0, -  , -  ,1920,2,D4,320000,2017-06-20 00:00:00"
"7106,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,37, ,D4,""4-6 WEST 105TH STREET, 6A"", ,10025,0,0,0, -  , -  ,1900,2,D4, -  ,2017-05-05 00:00:00"
"7107,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1841,52, ,D4,""50 WEST 106TH STREET, 12B"", ,10025,0,0,0, -  , -  ,1930,2,D4,585000,2017-01-12 00:00:00"
"7108,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1841,52, ,D4,""50 WEST 106TH STREET, 8B"", ,10025,0,0,0, -  , -  ,1930,2,D4,525000,2017-02-27 00:00:00"
"7109,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1841,52, ,D4,""50 WEST 106TH STREET, 11B"", ,10025,0,0,0, -  , -  ,1930,2,D4,604000,2017-08-08 00:00:00"
"7110,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1844,33, ,D4,""485 CENTRAL PARK WEST, 4C"", ,10025,0,0,0, -  , -  ,1900,2,D4,486000,2016-12-28 00:00:00"
"7111,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1844,37, ,D4,""4 WEST 109TH STREET, 2B"", ,10025,0,0,0, -  , -  ,1890,2,D4,515000,2017-03-29 00:00:00"
"7112,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1844,37, ,D4,""4 WEST 109TH STREET, 2G"", ,10025,0,0,0, -  , -  ,1890,2,D4,545000,2017-06-14 00:00:00"
"7113,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1849,2, ,D4,""351 WEST 114TH ST, 2E"", ,10026,0,0,0, -  , -  ,1901,2,D4,929288,2017-05-26 00:00:00"
7114,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1009, ,R2,11 WEST 104 STREET,9,10025,1,0,1, -  , -  ,1986,2,R2,1395000,2017-07-12 00:00:00
7115,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1050, ,R2,120 MANHATTAN AVENUE,51,10025,1,0,1, -  , -  ,1986,2,R2,1386000,2017-01-24 00:00:00
7116,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1057, ,R2,120 MANHATTAN AVENUE,58,10025,1,0,1, -  , -  ,1986,2,R2,1250000,2017-03-10 00:00:00
7117,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1058, ,R2,48 WEST 105 STREET,59,10025,1,0,1, -  , -  ,1986,2,R2,10,2017-04-05 00:00:00
7118,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1067, ,R2,44 WEST 105TH ST,68,10025,1,0,1, -  , -  ,1986,2,R2, -  ,2017-01-12 00:00:00
7119,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1842,1206, ,R2,69 WEST 106TH STREET,4A,10025,1,0,1, -  , -  ,0,2,R2,817000,2017-06-12 00:00:00
7120,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1842,1208, ,R2,69 WEST 106 ST,2B,10025,1,0,1, -  , -  ,0,2,R2,795000,2017-03-16 00:00:00
7121,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1832,1001, ,R4,26 WEST 97 STREET,1A,10025,1,0,1, -  , -  ,1900,2,R4,540000,2017-03-27 00:00:00
7122,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1832,1001, ,R4,26 WEST 97TH   STREET,1A,10025,1,0,1, -  , -  ,1900,2,R4, -  ,2016-09-14 00:00:00
7123,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1832,1007, ,R4,26 WEST 97TH STREET,2C,10025,1,0,1, -  , -  ,1900,2,R4,775000,2017-08-15 00:00:00
7124,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1020, ,R4,382 CENTRAL PARK WEST,2B,10025,1,0,1, -  , -  ,1961,2,R4,999000,2016-10-07 00:00:00
7125,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1033, ,R4,382 CENTRAL PARK WEST,2R,10025,1,0,1, -  , -  ,1961,2,R4, -  ,2017-02-02 00:00:00
7126,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1072, ,R4,382 CENTRAL PARK WEST,4K,10025,1,0,1, -  , -  ,1961,2,R4,1085000,2017-05-26 00:00:00
7127,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1099, ,R4,382 CENTRAL PARK WEST,5R,10025,1,0,1, -  , -  ,1961,2,R4,70256,2017-06-13 00:00:00
7128,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1105, ,R4,382 CENTRAL PARK WEST,5X,10025,1,0,1, -  , -  ,1961,2,R4, -  ,2017-06-22 00:00:00
7129,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1135, ,R4,382 CENTRAL PARK WEST,7G,10025,1,0,1, -  , -  ,1961,2,R4, -  ,2017-01-05 00:00:00
7130,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1169, ,R4,382 CENTRAL PARK WEST,8V,10025,1,0,1, -  , -  ,1961,2,R4, -  ,2016-12-14 00:00:00
7131,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1189, ,R4,382 CENTRAL PARK WEST,9T,10025,1,0,1, -  , -  ,1961,2,R4,730000,2017-08-01 00:00:00
7132,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1201, ,R4,382 CENTRAL PARK WEST,10G,10025,1,0,1, -  , -  ,1961,2,R4,725000,2017-01-31 00:00:00
7133,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1217, ,R4,382 CENTRAL PARK WEST,11A,10025,1,0,1, -  , -  ,1961,2,R4,1200000,2017-03-17 00:00:00
